Date,Name,Type
2010-01-26,Republic Day,National/Observed
2010-02-27,Milad-un-Nabi,National/Observed
2010-03-01,Holi,National/Observed
2010-03-24,Ram Navami,National/Observed
2010-04-02,Good Friday,National/Observed
2010-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2010-04-28,Mahavir Jayanti,National/Observed
2010-05-27,Buddha Purnima,National/Observed
2010-08-15,Independence Day,National/Observed
2010-09-02,Janmashtami (Vaishnava),National/Observed
2010-09-11,Id-ul-Fitr,National/Observed
2010-10-02,Mahatma Gandhi's Jayanti,National/Observed
2010-10-17,Dussehra,National/Observed
2010-11-05,Diwali (Deepavali),National/Observed
2010-11-17,Id-ul-Zuha (Bakrid),National/Observed
2010-11-21,Guru Nanak's Jayanti,National/Observed
2010-12-17,Muharram,National/Observed
2010-12-25,Christmas,National/Observed
2011-01-26,Republic Day,National/Observed
2011-02-16,Milad-un-Nabi,National/Observed
2011-03-02,Maha Shivaratri,National/Observed
2011-04-12,Ram Navami,National/Observed
2011-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2011-04-16,Mahavir Jayanti,National/Observed
2011-04-22,Good Friday,National/Observed
2011-05-17,Buddha Purnima,National/Observed
2011-08-15,Independence Day,National/Observed
2011-08-22,Janmashtami (Vaishnava),National/Observed
2011-08-31,Id-ul-Fitr,National/Observed
2011-10-02,Mahatma Gandhi's Jayanti,National/Observed
2011-10-06,Dussehra,National/Observed
2011-10-26,Diwali (Deepavali),National/Observed
2011-11-07,Id-ul-Zuha (Bakrid),National/Observed
2011-11-10,Guru Nanak's Jayanti,National/Observed
2011-12-06,Muharram,National/Observed
2011-12-25,Christmas,National/Observed
2012-01-26,Republic Day,National/Observed
2012-02-05,Milad-un-Nabi,National/Observed
2012-02-20,Maha Shivaratri,National/Observed
2012-03-08,Holi,National/Observed
2012-04-05,Mahavir Jayanti,National/Observed
2012-04-06,Good Friday,National/Observed
2012-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2012-05-06,Buddha Purnima,National/Observed
2012-08-10,Janmashtami (Vaishnava),National/Observed
2012-08-15,Independence Day,National/Observed
2012-08-20,Id-ul-Fitr,National/Observed
2012-10-02,Mahatma Gandhi's Jayanti,National/Observed
2012-10-24,Dussehra,National/Observed
2012-10-27,Id-ul-Zuha (Bakrid),National/Observed
2012-11-13,Diwali (Deepavali),National/Observed
2012-11-25,Muharram,National/Observed
2012-11-28,Guru Nanak's Jayanti,National/Observed
2012-12-25,Christmas,National/Observed
2013-01-25,Milad-un-Nabi,National/Observed
2013-01-26,Republic Day,National/Observed
2013-03-27,Holi,National/Observed
2013-03-29,Good Friday,National/Observed
2013-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2013-04-19,Ram Navami,National/Observed
2013-04-24,Mahavir Jayanti,National/Observed
2013-05-25,Buddha Purnima,National/Observed
2013-08-09,Id-ul-Fitr,National/Observed
2013-08-15,Independence Day,National/Observed
2013-08-28,Janmashtami (Vaishnava),National/Observed
2013-10-02,Mahatma Gandhi's Jayanti,National/Observed
